onset	duration	response_time	SS_delay	correct	experiment_exp_id	key_press	passed_check	stop_response	stopped	trial_type	trigger_times	worker_id	junk
450.406	0.56	0.044259842519685094	300.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	576800,577480,578160	s629	False
452.661	0.56	0.029259842519685095	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	578840,579520,580199,580880	s629	False
455.117	0.56	-0.024740157480314905	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	581560,582240,582920	s629	False
457.473	0.56	-0.0657401574803149	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_signal	583600,584280,584960,585640	s629	False
460.03	0.56	0.031259842519685097	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	586320,586999,587680,588360	s629	False
462.586	0.56	-0.08474015748031491	300.0	1.0	motor_selective_stop_signal	71.0	True	89.0	False	noncrit_nosignal	589040,589719,590400	s629	False
464.841	0.56	0.11525984251968509	300.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	591079,591760,592439	s629	False
467.097	0.56	-0.0917401574803149	300.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_stop_failure	593120,593799,594479,595159	s629	False
469.853	0.56	-0.6257401574803149	250.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	595840,596520,597200,597880	s629	False
472.209	0.56	-0.6257401574803149	300.0	0.0	motor_selective_stop_signal	-1.0	True	89.0	True	crit_stop_success	598560,599240,599921	s629	False
474.465	0.56	0.1302598425196851	350.0	1.0	motor_selective_stop_signal	89.0	True	89.0	False	crit_go	600600,601280,601960,602640	s629	False
