,CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,trial_id,trial_num,trial_type,worker_id
203,100.0,2000.0,True,89.0,Orange-Blue,stay,test,twobytwo,,89.0,"89,71",952.0,#1F45FC,1000.0,7.0,color,stay,,93734,stim,32.0,poldrack-single-stim,s373
206,900.0,2136.0,True,71.0,Color,switch,test,twobytwo,,71.0,"89,71",404.0,orange,1000.0,3.0,color,stay,,96774,stim,33.0,poldrack-single-stim,s373
209,900.0,2000.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",520.0,orange,1000.0,3.0,magnitude,switch,,99680,stim,34.0,poldrack-single-stim,s373
212,900.0,2000.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",498.0,#1F45FC,1000.0,9.0,color,switch,,102588,stim,35.0,poldrack-single-stim,s373
215,100.0,2000.0,True,89.0,Orange-Blue,switch,test,twobytwo,,89.0,"89,71",952.0,#1F45FC,1000.0,8.0,color,stay,,104694,stim,36.0,poldrack-single-stim,s373
218,100.0,2272.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",724.0,#1F45FC,1000.0,3.0,magnitude,switch,,107073,stim,37.0,poldrack-single-stim,s373
221,900.0,2136.0,True,71.0,Orange-Blue,,test,twobytwo,,71.0,"89,71",486.0,orange,1000.0,9.0,color,switch,,110113,stim,38.0,poldrack-single-stim,s373
224,100.0,2000.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",781.0,orange,1000.0,9.0,magnitude,switch,,112220,stim,39.0,poldrack-single-stim,s373
227,900.0,2136.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",452.0,orange,1000.0,6.0,color,switch,,115266,stim,40.0,poldrack-single-stim,s373
230,100.0,2816.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",633.0,#1F45FC,1000.0,2.0,magnitude,switch,,118187,stim,41.0,poldrack-single-stim,s373
233,100.0,2408.0,True,89.0,High-Low,switch,test,twobytwo,,89.0,"89,71",657.0,#1F45FC,1000.0,1.0,magnitude,stay,,120701,stim,42.0,poldrack-single-stim,s373
236,100.0,2000.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",840.0,#1F45FC,1000.0,6.0,color,switch,,122807,stim,43.0,poldrack-single-stim,s373
239,900.0,2136.0,True,71.0,High-Low,,test,twobytwo,,71.0,"89,71",508.0,#1F45FC,1000.0,9.0,magnitude,switch,,125848,stim,44.0,poldrack-single-stim,s373
242,900.0,2136.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",503.0,#1F45FC,1000.0,1.0,magnitude,stay,,128888,stim,45.0,poldrack-single-stim,s373
245,900.0,2136.0,True,89.0,Magnitude,switch,test,twobytwo,,89.0,"89,71",806.0,#1F45FC,1000.0,4.0,magnitude,stay,,131928,stim,46.0,poldrack-single-stim,s373
248,900.0,2544.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",434.0,orange,1000.0,3.0,color,switch,,135379,stim,47.0,poldrack-single-stim,s373
251,900.0,2136.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",522.0,#1F45FC,1000.0,1.0,magnitude,switch,,138418,stim,48.0,poldrack-single-stim,s373
254,100.0,2000.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",944.0,#1F45FC,1000.0,9.0,color,switch,,140525,stim,49.0,poldrack-single-stim,s373
257,900.0,2000.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",583.0,#1F45FC,1000.0,4.0,magnitude,switch,,143432,stim,50.0,poldrack-single-stim,s373
260,900.0,2000.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",541.0,#1F45FC,1000.0,4.0,magnitude,stay,,146339,stim,51.0,poldrack-single-stim,s373
263,900.0,2000.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",427.0,orange,1000.0,4.0,color,switch,,149246,stim,52.0,poldrack-single-stim,s373
266,100.0,2136.0,True,89.0,High-Low,,test,twobytwo,,89.0,"89,71",674.0,orange,1000.0,1.0,magnitude,switch,,151486,stim,53.0,poldrack-single-stim,s373
269,900.0,2000.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",570.0,orange,1000.0,6.0,magnitude,stay,,154391,stim,54.0,poldrack-single-stim,s373
272,100.0,2000.0,True,71.0,High-Low,switch,test,twobytwo,,71.0,"89,71",1217.0,orange,1000.0,7.0,magnitude,stay,,156500,stim,55.0,poldrack-single-stim,s373
275,900.0,2000.0,True,89.0,High-Low,stay,test,twobytwo,,89.0,"89,71",446.0,orange,1000.0,3.0,magnitude,stay,,159407,stim,56.0,poldrack-single-stim,s373
278,900.0,2136.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",718.0,#1F45FC,1000.0,2.0,color,switch,,162446,stim,57.0,poldrack-single-stim,s373
281,100.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",791.0,orange,1000.0,7.0,magnitude,switch,,164686,stim,58.0,poldrack-single-stim,s373
284,100.0,2136.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",633.0,#1F45FC,1000.0,3.0,magnitude,stay,,166927,stim,59.0,poldrack-single-stim,s373
287,100.0,2136.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",638.0,#1F45FC,1000.0,3.0,color,switch,,169167,stim,60.0,poldrack-single-stim,s373
290,100.0,2680.0,True,89.0,Orange-Blue,stay,test,twobytwo,,89.0,"89,71",649.0,#1F45FC,1000.0,1.0,color,stay,,171956,stim,61.0,poldrack-single-stim,s373
293,900.0,2544.0,True,89.0,Color,switch,test,twobytwo,,89.0,"89,71",538.0,#1F45FC,1000.0,3.0,color,stay,,175407,stim,62.0,poldrack-single-stim,s373
