,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,text,time_elapsed,trial_id,trial_type,worker_id
121,PA_with_intermediate,,"1,2,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",71,3.0,1.0,"89,71,82",7.0,,2341,"1,2,3,0,0,0,0,0,0",,139985,to_board,poldrack-single-stim,499
122,PA_with_intermediate,,"1,0,0,3,0,0,0,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",89,3.0,2.0,"89,71",7.0,,1699,"1,2,3,0,0,0,0,0,0",,141692,to_hand,poldrack-single-stim,499
123,PA_with_intermediate,,"1,0,0,3,0,0,2,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",82,3.0,2.0,"89,71,82",7.0,,392,"1,2,3,0,0,0,0,0,0",,142086,to_board,poldrack-single-stim,499
124,PA_with_intermediate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",71,3.0,3.0,"89,71,82",7.0,,585,"1,2,3,0,0,0,0,0,0",,142680,to_hand,poldrack-single-stim,499
125,PA_with_intermediate,,"1,3,0,0,0,0,2,0,0",practice,ward_and_allport,"1,3,0,0,0,0,2,0,0",89,3.0,3.0,"89,71,82",7.0,,298,"1,2,3,0,0,0,0,0,0",,142980,to_board,poldrack-single-stim,499
126,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,10945.0,-1,,,145265,feedback,poldrack-single-stim,499
127,PA_with_intermediate,,"0,0,0,1,2,0,0,0,0",practice,ward_and_allport,"2,0,0,1,3,0,0,0,0",71,3.0,1.0,71,8.0,,3940,"0,0,0,1,2,3,0,0,0",,149214,to_hand,poldrack-single-stim,499
128,PA_with_intermediate,,"0,0,0,1,2,0,3,0,0",practice,ward_and_allport,"2,0,0,1,3,0,0,0,0",82,3.0,1.0,"89,71,82",8.0,,352,"0,0,0,1,2,3,0,0,0",,149568,to_board,poldrack-single-stim,499
129,PA_with_intermediate,,"0,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,0,0,1,3,0,0,0,0",71,3.0,2.0,"71,82",8.0,,917,"0,0,0,1,2,3,0,0,0",,150496,to_hand,poldrack-single-stim,499
130,PA_with_intermediate,,"2,0,0,1,0,0,3,0,0",practice,ward_and_allport,"2,0,0,1,3,0,0,0,0",89,3.0,2.0,"89,71,82",8.0,,268,"0,0,0,1,2,3,0,0,0",,150765,to_board,poldrack-single-stim,499
131,PA_with_intermediate,,"2,0,0,1,0,0,0,0,0",practice,ward_and_allport,"2,0,0,1,3,0,0,0,0",82,3.0,3.0,"89,71,82",8.0,,974,"0,0,0,1,2,3,0,0,0",,151750,to_hand,poldrack-single-stim,499
132,PA_with_intermediate,,"2,0,0,1,3,0,0,0,0",practice,ward_and_allport,"2,0,0,1,3,0,0,0,0",71,3.0,3.0,"89,71,82",8.0,,258,"0,0,0,1,2,3,0,0,0",,152011,to_board,poldrack-single-stim,499
133,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,8893.0,-1,,,154158,feedback,poldrack-single-stim,499
134,PA_with_intermediate,,"0,0,0,0,0,0,1,2,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",82,3.0,1.0,82,9.0,,7643,"0,0,0,0,0,0,1,2,3",,161810,to_hand,poldrack-single-stim,499
135,PA_with_intermediate,,"3,0,0,0,0,0,1,2,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",89,3.0,1.0,"89,71,82",9.0,,260,"0,0,0,0,0,0,1,2,3",,162072,to_board,poldrack-single-stim,499
