CTI,block_duration,correct,correct_response,cue,cue_switch,exp_stage,experiment_exp_id,feedback_duration,key_press,possible_responses,rt,stim_color,stim_duration,stim_number,task,task_switch,text,time_elapsed,timing_post_trial,trial_id,trial_num,trial_type,worker_id
100.0,2272.0,True,71.0,High-Low,stay,test,twobytwo,,71.0,"89,71",687.0,orange,1000.0,3.0,magnitude,stay,,153297,0.0,stim,55.0,poldrack-single-stim,s499
900.0,2000.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",494.0,orange,1000.0,2.0,magnitude,stay,,156202,0.0,stim,56.0,poldrack-single-stim,s499
900.0,2000.0,True,89.0,Magnitude,stay,test,twobytwo,,89.0,"89,71",848.0,#1F45FC,1000.0,6.0,magnitude,stay,,159109,0.0,stim,57.0,poldrack-single-stim,s499
900.0,2136.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",909.0,#1F45FC,1000.0,8.0,color,switch,,162152,0.0,stim,58.0,poldrack-single-stim,s499
100.0,2000.0,False,89.0,High-Low,,test,twobytwo,,71.0,"89,71",1130.0,#1F45FC,1000.0,6.0,magnitude,switch,,164259,0.0,stim,59.0,poldrack-single-stim,s499
100.0,2136.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",729.0,orange,1000.0,3.0,magnitude,stay,,166501,0.0,stim,60.0,poldrack-single-stim,s499
900.0,2272.0,True,89.0,Orange-Blue,,test,twobytwo,,89.0,"89,71",670.0,#1F45FC,1000.0,3.0,color,switch,,169680,0.0,stim,61.0,poldrack-single-stim,s499
100.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",729.0,orange,1000.0,2.0,magnitude,switch,,171922,0.0,stim,62.0,poldrack-single-stim,s499
100.0,2272.0,True,71.0,Magnitude,stay,test,twobytwo,,71.0,"89,71",600.0,orange,1000.0,1.0,magnitude,stay,,174300,0.0,stim,63.0,poldrack-single-stim,s499
900.0,2000.0,True,89.0,Color,,test,twobytwo,,89.0,"89,71",540.0,#1F45FC,1000.0,8.0,color,switch,,177204,0.0,stim,64.0,poldrack-single-stim,s499
100.0,2816.0,True,89.0,Color,stay,test,twobytwo,,89.0,"89,71",739.0,#1F45FC,1000.0,7.0,color,stay,,180128,0.0,stim,65.0,poldrack-single-stim,s499
900.0,2408.0,True,89.0,Orange-Blue,switch,test,twobytwo,,89.0,"89,71",667.0,#1F45FC,1000.0,6.0,color,stay,,183443,0.0,stim,66.0,poldrack-single-stim,s499
100.0,2000.0,True,89.0,Orange-Blue,stay,test,twobytwo,,89.0,"89,71",875.0,#1F45FC,1000.0,4.0,color,stay,,185548,0.0,stim,67.0,poldrack-single-stim,s499
900.0,2544.0,True,71.0,Orange-Blue,stay,test,twobytwo,,71.0,"89,71",804.0,orange,1000.0,4.0,color,stay,,188999,0.0,stim,68.0,poldrack-single-stim,s499
100.0,2136.0,True,71.0,Magnitude,,test,twobytwo,,71.0,"89,71",1014.0,orange,1000.0,1.0,magnitude,switch,,191241,0.0,stim,69.0,poldrack-single-stim,s499
900.0,2000.0,True,71.0,Color,,test,twobytwo,,71.0,"89,71",582.0,orange,1000.0,7.0,color,switch,,194147,0.0,stim,70.0,poldrack-single-stim,s499
100.0,2000.0,True,71.0,Color,stay,test,twobytwo,,71.0,"89,71",586.0,orange,1000.0,7.0,color,stay,,196259,0.0,stim,71.0,poldrack-single-stim,s499
100.0,2136.0,True,89.0,Orange-Blue,switch,test,twobytwo,,89.0,"89,71",887.0,#1F45FC,1000.0,3.0,color,stay,,198501,0.0,stim,72.0,poldrack-single-stim,s499
100.0,2136.0,True,89.0,Orange-Blue,stay,test,twobytwo,,89.0,"89,71",755.0,#1F45FC,1000.0,3.0,color,stay,,200748,0.0,stim,73.0,poldrack-single-stim,s499
100.0,2272.0,True,89.0,Magnitude,,test,twobytwo,,89.0,"89,71",629.0,#1F45FC,1000.0,6.0,magnitude,switch,,203126,0.0,stim,74.0,poldrack-single-stim,s499
100.0,3224.0,True,89.0,High-Low,switch,test,twobytwo,,89.0,"89,71",1078.0,orange,1000.0,8.0,magnitude,stay,,206457,0.0,stim,75.0,poldrack-single-stim,s499
100.0,2000.0,True,71.0,Magnitude,switch,test,twobytwo,,71.0,"89,71",1026.0,orange,1000.0,2.0,magnitude,stay,,208565,0.0,stim,76.0,poldrack-single-stim,s499
