,block_duration,condition,correct,current_position,exp_stage,experiment_exp_id,goal_state,key_press,min_moves,num_moves_made,possible_responses,problem_id,problem_time,rt,start_state,stim_duration,text,time_elapsed,trial_id,trial_type,worker_id
113,637.0,PA_with_intermediate,,"1,0,0,0,0,0,2,0,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",71,3.0,3.0,"89,71,82",8.0,,637,"1,2,3,0,0,0,0,0,0",637.0,,117891,to_hand,poldrack-single-stim,s572
114,221.0,PA_with_intermediate,,"1,0,0,0,0,0,2,3,0",practice,ward_and_allport,"1,0,0,0,0,0,2,3,0",82,3.0,3.0,"89,71,82",8.0,,221,"1,2,3,0,0,0,0,0,0",221.0,,118113,to_board,poldrack-single-stim,s572
115,2136.0,,True,,test,ward_and_allport,,-1,3.0,3.0,none,,8325.0,-1,,1000.0,,120256,feedback,poldrack-single-stim,s572
116,4458.0,PA_with_intermediate,,"0,0,0,0,0,0,1,2,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",82,3.0,1.0,82,9.0,,4458,"0,0,0,0,0,0,1,2,3",4458.0,,124718,to_hand,poldrack-single-stim,s572
117,269.0,PA_with_intermediate,,"3,0,0,0,0,0,1,2,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",89,3.0,1.0,"89,71,82",9.0,,269,"0,0,0,0,0,0,1,2,3",269.0,,124988,to_board,poldrack-single-stim,s572
118,624.0,PA_with_intermediate,,"0,0,0,0,0,0,1,2,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",89,3.0,2.0,"89,82",9.0,,624,"0,0,0,0,0,0,1,2,3",624.0,,125616,to_hand,poldrack-single-stim,s572
119,1026.0,PA_with_intermediate,,"3,0,0,0,0,0,1,2,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",89,3.0,2.0,"89,71,82",9.0,,1026,"0,0,0,0,0,0,1,2,3",1026.0,,126643,to_board,poldrack-single-stim,s572
120,933.0,PA_with_intermediate,,"3,0,0,0,0,0,1,0,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",82,3.0,3.0,"89,82",9.0,,933,"0,0,0,0,0,0,1,2,3",933.0,,127579,to_hand,poldrack-single-stim,s572
121,462.0,PA_with_intermediate,,"3,0,0,2,0,0,1,0,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",71,3.0,3.0,"89,71,82",9.0,,462,"0,0,0,0,0,0,1,2,3",462.0,,128043,to_board,poldrack-single-stim,s572
122,847.0,PA_with_intermediate,,"0,0,0,2,0,0,1,0,0",practice,ward_and_allport,"0,0,0,2,0,0,1,3,0",89,3.0,4.0,"89,71,82",9.0,,847,"0,0,0,0,0,0,1,2,3",847.0,,128892,to_hand,poldrack-single-stim,s572
